Molocule,Wave_Number,Intensity ,A,gamma_air,gamma self,E'',n-air,delta - air,J',"J"""
12CH4,1248.6868,1.11E-26,0.01073,0.051,0.068,2357.7405,0.65,-0.002,11,12
12CH4,1248.741,1.29E-25,1.773,0.06,0.076,2891.231,0.7,-0.002,6,7
12CH4,1248.747,2.07E-24,0.0001154,0.065,0.078,104.78,0.72,0,3,4
12CH4,1248.75595,1.05E-27,0.0006194,0.047,0.065,2303.8147,0.65,-0.002,14,13
12CH4,1248.788,4.63E-26,1.568,0.041,0.055,3358.0386,0.57,-0.002,25,25
12CH4,1248.789,2.78E-26,1.568,0.041,0.055,3358.0376,0.57,-0.002,25,25
12CH4,1248.789,1.85E-26,1.568,0.041,0.055,3358.0374,0.57,-0.002,25,25
12CH4,1248.7931,8.68E-27,1.006,0.028,0.059,3367.5359,0.63,-0.002,19,19
12CH4,1248.80586,5.17E-27,0.001116,0.058,0.074,2009.8906,0.67,-0.002,9,9
12CH4,1248.80729,4.36E-27,0.00673,0.044,0.065,2606.8188,0.65,-0.002,14,15
12CH4,1248.80987,5.68E-25,0.1453,0.052,0.075,1912.6674,0.72,-0.002,7,8
12CH4,1248.82,5.74E-24,0.0004797,0.056,0.078,104.776,0.72,0,3,4
12CH4,1248.8381,2.74E-26,0.02652,0.051,0.068,2357.6304,0.65,-0.002,11,12
12CH4,1248.84855,5.37E-27,0.0001849,0.064,0.077,1553.9897,0.72,-0.002,6,6
12CH4,1248.8625,1.24E-27,0.5172,0.055,0.058,3725.2991,0.63,-0.002,20,20
12CH4,1248.8643,2.06E-27,0.5169,0.055,0.058,3725.2986,0.63,-0.002,20,20
12CH4,1248.90407,1.37E-27,8.26E-05,0.058,0.075,1724.382,0.72,-0.002,8,8
12CH4,1248.922,8.99E-28,1.5,0.041,0.055,4182.6172,0.57,-0.002,28,28
12CH4,1248.926,5.39E-28,1.498,0.041,0.055,4182.6128,0.57,-0.002,28,28
12CH4,1248.928,3.59E-28,1.498,0.041,0.055,4182.6108,0.57,-0.002,28,28
12CH4,1248.93991,1.37E-25,0.03299,0.058,0.074,2009.9767,0.67,-0.002,8,9
12CH4,1248.96163,2.97E-27,0.02582,0.047,0.061,2895.4758,0.63,-0.002,17,17
12CH4,1248.9735,8.46E-27,0.001062,0.054,0.073,1918.8419,0.67,-0.002,10,10
12CH4,1249.019,9.07E-29,0.001576,0.042,0.056,3107.3494,0.57,-0.002,24,24
12CH4,1249.03362,1.01E-26,0.0006978,0.058,0.074,1775.9617,0.67,-0.002,9,9
12CH4,1249.0777,8.68E-26,0.01534,0.058,0.075,1919.9879,0.72,-0.002,7,8
12CH4,1249.10319,4.72E-25,0.17,0.052,0.074,2008.9305,0.67,-0.002,8,9
12CH4,1249.13994,6.62E-26,0.01599,0.058,0.074,2009.8906,0.67,-0.002,8,9
12CH4,1249.145,1.83E-25,6.146,0.06,0.076,2970.0798,0.7,-0.002,6,7
12CH4,1249.1515,2.54E-27,0.2918,0.039,0.059,3554.3062,0.63,-0.002,19,19
12CH4,1249.165,1.32E-25,2.331,0.061,0.077,2802.8383,0.7,-0.002,5,6
12CH4,1249.19818,3.33E-23,1.832,0.058,0.075,1679.5629,0.72,-0.002,7,8
12CH4,1249.239,1.06E-26,1.699,0.0485,0.059,3518.5085,0.63,-0.002,19,19
12CH4,1249.2399,1.05E-26,1.698,0.0485,0.059,3518.5083,0.63,-0.002,19,19
12CH4,1249.24797,8.32E-27,0.00157,0.045,0.073,1919.3365,0.67,-0.002,10,10
12CH4,1249.25916,3.54E-27,0.03072,0.047,0.061,2895.4758,0.63,-0.002,17,17
12CH4,1249.267,1.15E-25,3.156,0.06,0.076,2928.7611,0.7,-0.002,6,7
12CH4,1249.2897,5.59E-27,0.0003372,0.058,0.075,1724.5681,0.72,-0.002,8,8
12CH4,1249.303,3.34E-24,0.5903,0.058,0.075,1919.7257,0.72,-0.002,7,8
12CH4,1249.3067,9.59E-24,1.694,0.058,0.075,1919.7559,0.72,-0.002,7,8
12CH4,1249.31481,1.64E-27,0.002606,0.044,0.065,2612.5356,0.65,-0.002,14,15
12CH4,1249.33656,2.52E-27,0.0005466,0.058,0.074,2010.3708,0.67,-0.002,9,9
12CH4,1249.34439,4.42E-27,0.001526,0.051,0.068,2162.4832,0.65,-0.002,12,12
12CH4,1249.37911,7.84E-25,0.1339,0.058,0.075,1912.6669,0.72,-0.002,7,8
12CH4,1249.43732,1.04E-25,0.008326,0.054,0.073,1826.4943,0.67,-0.002,10,10
12CH4,1249.44444,1.19E-27,0.0004283,0.044,0.065,2307.7061,0.65,-0.002,14,13
12CH4,1249.485,7.68E-30,0.0001331,0.042,0.056,3106.884,0.57,-0.002,24,24
12CH4,1249.51894,2.89E-26,0.001243,0.064,0.078,1599.2841,0.73,-0.002,6,7
12CH4,1249.527,1.22E-25,6.165,0.06,0.076,2970.8163,0.7,-0.002,6,7
12CH4,1249.53499,8.04E-27,0.0003923,0.058,0.075,1680.7599,0.72,-0.002,8,8
12CH4,1249.56881,3.38E-27,0.004789,0.047,0.065,2468.8201,0.65,-0.002,13,14
12CH4,1249.577,2.49E-23,0.003398,0.056,0.073,470.855,0.65,0,8,9
12CH4,1249.5856,5.66E-26,0.08223,0.041,0.068,2357.8606,0.65,-0.002,11,12
12CH4,1249.59196,3.61E-26,0.03503,0.051,0.068,2357.9048,0.65,-0.002,11,12
12CH4,1249.598,8.02E-27,0.007735,0.051,0.068,2356.8706,0.65,-0.002,11,12
12CH4,1249.6122,1.63E-27,0.3128,0.0485,0.059,3553.9937,0.63,-0.002,19,19
12CH4,1249.627,1.50E-20,2.037,0.0575,0.076,470.8053,0.9,-0.0029,8,9
12CH4,1249.64782,6.12E-23,4.102,0.058,0.075,1720.432,0.72,-0.002,7,8
12CH4,1249.706,1.13E-25,3.035,0.06,0.076,2924.5199,0.7,-0.002,6,7
12CH4,1249.71142,8.83E-26,0.09988,0.044,0.065,2556.0171,0.65,-0.002,15,15
12CH4,1249.715,1.64E-24,0.0002232,0.056,0.073,470.717,0.65,0,8,9
12CH4,1249.75625,3.74E-26,0.03627,0.051,0.068,2357.7405,0.65,-0.002,11,12
12CH4,1249.76006,2.77E-27,0.002564,0.041,0.067,2297.7979,0.65,-0.002,13,13
12CH4,1249.79141,8.76E-27,0.0008923,0.054,0.073,1875.6461,0.67,-0.002,10,10
12CH4,1249.809,1.16E-27,0.3329,0.028,0.059,3553.8755,0.63,-0.002,19,19
12CH4,1249.8169,2.22E-26,0.004802,0.058,0.074,2009.8906,0.67,-0.002,9,9
12CH4,1249.8236,4.78E-26,0.01034,0.058,0.074,2009.9767,0.67,-0.002,9,9
12CH4,1249.84391,1.54E-25,0.03682,0.058,0.074,2007.2007,0.67,-0.002,8,9
12CH4,1249.88429,3.71E-27,0.001199,0.052,0.074,2008.9305,0.67,-0.002,9,9
12CH4,1249.90456,1.88E-26,0.003812,0.054,0.07,2035.9758,0.65,-0.002,11,11
12CH4,1249.97384,9.07E-26,0.02183,0.058,0.074,2008.943,0.67,-0.002,8,9
12CH4,1249.97424,2.37E-23,1.906,0.052,0.075,1674.4866,0.72,-0.002,7,8
