"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.658637458E0,-7.171310425E0,-2.648907089E1,-3.986965942E1,4.840132552E1
1.668701458E0,-7.245018005E0,-2.681462860E1,-3.963909912E1,4.840219801E1
1.678764458E0,-7.590873718E0,-2.659429932E1,-3.968472290E1,4.837101768E1
1.688827458E0,-7.541099548E0,-2.655408859E1,-3.986233521E1,4.848704540E1
1.698890458E0,-7.315582275E0,-2.624129868E1,-3.935345459E1,4.786248937E1
1.708953458E0,-7.423759460E0,-2.611863327E1,-3.971554565E1,4.811049548E1
1.719017458E0,-7.342834473E0,-2.633332443E1,-4.016210938E1,4.858349744E1
1.729080458E0,-7.392051697E0,-2.633554840E1,-3.974072266E1,4.824446678E1
1.739143458E0,-7.127723694E0,-2.610215378E1,-3.981326294E1,4.813754027E1
1.749206458E0,-7.159278870E0,-2.627666473E1,-3.986163330E1,4.827699445E1
1.759269458E0,-7.303375244E0,-2.610279465E1,-3.950851440E1,4.791260678E1
1.769333458E0,-7.326362610E0,-2.619467163E1,-3.957345581E1,4.801973361E1
1.779396458E0,-7.511512756E0,-2.631663132E1,-3.951568604E1,4.806742505E1
1.789459458E0,-7.116065979E0,-2.628021240E1,-3.993405151E1,4.833235386E1
1.799522458E0,-7.133689880E0,-2.612858200E1,-3.988342285E1,4.821078455E1
1.809585458E0,-7.159339905E0,-2.611649704E1,-3.942556763E1,4.782993778E1
1.819649458E0,-7.168449402E0,-2.629813766E1,-3.949163818E1,4.798508308E1
1.829712458E0,-6.919403076E0,-2.632165909E1,-3.968231201E1,4.811853866E1
1.839775458E0,-6.982795715E0,-2.608663940E1,-3.975897217E1,4.806295933E1
1.849838458E0,-6.955169678E0,-2.591801453E1,-3.945553589E1,4.771642458E1
1.859901458E0,-7.106468201E0,-2.608799362E1,-3.946231079E1,4.783679833E1
1.869965458E0,-7.098724365E0,-2.588027191E1,-3.914865112E1,4.746364131E1
1.880028458E0,-6.893394470E0,-2.619502258E1,-3.965936279E1,4.802669208E1
1.890091458E0,-6.742454529E0,-2.630614090E1,-3.989132690E1,4.825755593E1
1.900154458E0,-6.891700745E0,-2.595550156E1,-3.992803955E1,4.811893538E1
1.910217458E0,-6.934135437E0,-2.641278076E1,-3.985549927E1,4.831333195E1
1.920281458E0,-7.045974731E0,-2.623859787E1,-3.985574341E1,4.823473915E1
1.930344458E0,-6.888885498E0,-2.638415909E1,-3.945428467E1,4.796062106E1
1.940407458E0,-6.969795227E0,-2.631471252E1,-3.972952271E1,4.816095011E1
1.950470458E0,-6.905799866E0,-2.625439453E1,-3.959140015E1,4.800481507E1
1.960533458E0,-6.877487183E0,-2.616270447E1,-3.952578735E1,4.789650093E1
1.970597458E0,-6.832084656E0,-2.613694763E1,-3.971279907E1,4.803044683E1
1.980660458E0,-7.178825378E0,-2.615213776E1,-3.944326782E1,4.786691153E1
1.990723458E0,-7.170227051E0,-2.612496948E1,-3.966329956E1,4.803231744E1
2.000786458E0,-6.974327087E0,-2.603979874E1,-3.978521729E1,4.805804689E1
2.010849458E0,-6.960929871E0,-2.587327957E1,-3.977612305E1,4.795853527E1
2.020913458E0,-6.887130737E0,-2.601952362E1,-3.962609863E1,4.790277520E1
2.030976458E0,-6.966247559E0,-2.620592499E1,-3.991970825E1,4.825828651E1
2.041039458E0,-7.107383728E0,-2.619852448E1,-3.988436890E1,4.824562644E1
2.051099250E0,-7.209091187E0,-2.622678757E1,-4.024432373E1,4.857387131E1
2.061163250E0,-7.087692261E0,-2.591781998E1,-3.976974487E1,4.799584754E1
2.071226250E0,-7.023529053E0,-2.595280838E1,-3.987844849E1,4.809541430E1
2.081289250E0,-7.137351990E0,-2.600302505E1,-3.974017334E1,4.802479029E1
2.091352250E0,-7.103431702E0,-2.602441406E1,-3.976898193E1,4.805518487E1
2.101415250E0,-6.988937378E0,-2.635699844E1,-4.024444580E1,4.861226214E1
2.111479250E0,-7.041244507E0,-2.615985870E1,-4.014337158E1,4.842940856E1
2.121542250E0,-6.734146118E0,-2.606875229E1,-4.012155151E1,4.831839676E1
2.131605250E0,-6.699028015E0,-2.617975616E1,-3.999563599E1,4.826911546E1
2.141668250E0,-6.659667969E0,-2.599185944E1,-3.994915771E1,4.812341568E1
2.151731250E0,-7.093139648E0,-2.601732635E1,-3.996697998E1,4.821382986E1
2.161795250E0,-7.358200073E0,-2.592895126E1,-3.987429810E1,4.812913121E1
2.171858250E0,-7.450721741E0,-2.595278931E1,-4.030398560E1,4.851259406E1
2.181921250E0,-7.131507874E0,-2.581166077E1,-4.011712646E1,4.823364046E1
2.191984250E0,-7.025726318E0,-2.587059021E1,-3.995626831E1,4.811602275E1
