Callisto_Wave_Number,Callisto_Spectrum,Callisto_Noise,Titan_Wave_Number,Titan_Spectrum,Titan_Noise
1244.837132,12.6137,5.4619,1244.836888,0.430708,1.55286
1244.841278,18.6162,5.2152,1244.841034,1.8909,1.47753
1244.845425,15.5678,5.0157,1244.84518,2.49828,1.41303
1244.849571,22.3889,4.81437,1244.849327,1.00911,1.35556
1244.853717,16.1901,4.65451,1244.853473,0.220798,1.30586
1244.857864,17.8572,4.50412,1244.857619,1.49696,1.2617
1244.86201,17.9994,4.36903,1244.861766,1.27308,1.22479
1244.866156,18.4813,4.27362,1244.865912,1.54153,1.19194
1244.870303,18.6543,4.18165,1244.870058,1.30689,1.16401
1244.874449,14.9921,4.10477,1244.874205,0.782289,1.13863
1244.878595,14.5653,4.0419,1244.878351,0.200946,1.12
1244.882742,16.5742,3.98983,1244.882497,0.772957,1.10302
1244.886888,17.2963,3.94345,1244.886644,1.25672,1.08962
1244.891034,19.4442,3.87943,1244.89079,1.16211,1.07044
1244.895181,17.7473,3.78598,1244.894936,1.99355,1.0429
1244.899327,14.0349,3.60543,1244.899083,0.902578,1.00308
1244.903473,15.9883,4.10511,1244.903229,1.3842,1.13156
1244.90762,17.3433,4.47082,1244.907375,2.36803,1.21646
1244.911766,19.4951,4.38605,1244.911522,1.12519,1.19401
1244.915912,18.5124,4.52505,1244.915668,1.1653,1.22698
1244.920059,16.0146,3.8666,1244.919814,0.357952,1.05505
1244.924205,20.524,3.64757,1244.923961,-0.253825,1.00386
1244.928351,21.933,3.68317,1244.928107,1.49302,1.01052
1244.932498,18.0455,3.6573,1244.932253,-0.123746,1.00282
1244.936644,18.5365,3.66996,1244.9364,0.597353,1.00429
1244.94079,14.0215,3.63743,1244.940546,0.82546,0.995199
1244.944937,18.6525,3.65016,1244.944692,1.21492,0.996634
1244.949083,18.7667,3.64482,1244.948839,1.54275,0.993242
1244.953229,20.398,3.64113,1244.952985,1.57711,0.992833
1244.957376,19.1206,3.63396,1244.957131,1.42724,0.993196
1244.961522,20.4534,3.63409,1244.961278,0.61128,0.993331
1244.965668,19.5656,3.6365,1244.965424,2.00715,0.991289
1244.969815,19.1497,3.6372,1244.96957,1.93038,0.990959
1244.973961,17.3101,3.6428,1244.973717,1.29095,0.994039
1244.978107,19.848,3.64813,1244.977863,2.38616,0.994466
1244.982254,18.4843,3.6539,1244.982009,2.24482,0.995876
1244.9864,17.1392,3.65793,1244.986156,1.87673,0.99527
1244.990546,19.9793,3.67048,1244.990302,0.858462,0.996656
1244.994693,19.4587,3.67012,1244.994448,1.7742,0.998824
1244.998839,19.2697,3.67351,1244.998595,0.835028,1.00185
1245.002985,11.7779,3.69195,1245.002741,0.171908,1.00532
1245.007132,18.3991,3.70391,1245.006887,3.11204,1.00726
1245.011278,17.306,3.71393,1245.011034,2.56284,1.01234
1245.015424,14.7126,3.74196,1245.01518,2.81142,1.01694
1245.019571,25.0825,3.7622,1245.019326,2.17723,1.02271
1245.023717,18.6867,3.78501,1245.023473,2.43427,1.02948
1245.027863,18.9866,3.81534,1245.027619,1.05332,1.03639
1245.03201,19.3717,3.83741,1245.031765,1.05346,1.04379
1245.036156,17.8797,3.87135,1245.035912,1.2373,1.05166
1245.040302,17.3058,3.91043,1245.040058,1.96915,1.06145
1245.044449,14.791,3.9359,1245.044204,2.76953,1.07123
1245.048595,19.5908,3.9705,1245.048351,2.46078,1.08142
1245.052741,22.5198,4.02165,1245.052497,1.32693,1.09349
1245.056888,17.5779,4.07573,1245.056643,1.79512,1.10637
1245.061034,17.2945,4.12077,1245.06079,1.34642,1.11874
1245.06518,19.0311,4.16866,1245.064936,0.331863,1.13208
1245.069327,19.1642,4.23217,1245.069082,1.47223,1.14902
1245.073473,19.4245,4.28203,1245.073229,2.02304,1.1653
1245.077619,19.8956,4.3324,1245.077375,1.58056,1.18161
1245.081766,23.5687,4.41105,1245.081521,1.33647,1.20048
1245.085912,14.2153,4.50179,1245.085668,3.0304,1.22096
1245.090058,18.1442,4.61479,1245.089814,1.66478,1.24757
1245.094205,14.3083,4.70615,1245.09396,1.73043,1.27943
1245.098351,20.4451,4.83153,1245.098107,0.324768,1.31181
1245.102497,24.544,4.96023,1245.102253,2.32773,1.34172
1245.106644,24.8469,5.08776,1245.106399,4.91116,1.37534
1245.11079,23.146,5.22257,1245.110546,4.20788,1.41492
1245.114936,16.0893,5.3907,1245.114692,4.69605,1.45974
1245.119083,13.8819,5.57826,1245.118838,1.7217,1.50889
1245.123229,14.4786,5.78325,1245.122985,2.234,1.56416
1245.127375,21.2375,6.00598,1245.127131,2.84818,1.62741
1245.131522,15.7742,6.26564,1245.131277,2.58884,1.69646
1245.135668,13.9806,6.58062,1245.135424,4.27913,1.77144
1245.139814,15.5693,6.7425,1245.13957,5.62475,1.82491
1245.143961,14.5171,7.05142,1245.143716,5.61799,1.90721
1245.148107,17.5775,7.41451,1245.147863,5.48832,1.99886
1245.152253,13.1072,7.78189,1245.152009,6.01466,2.11065
1245.1564,11.7252,8.30076,1245.156155,2.76776,2.24279
1245.160546,17.2114,8.88058,1245.160302,1.18336,2.38862
1245.164692,20.6626,9.48609,1245.164448,1.77809,2.55877
1245.168839,13.1955,10.1994,1245.168594,2.75346,2.75377
1245.172985,5.63178,11.0196,1245.172741,1.39672,2.97478
1245.177131,2.57623,12.0472,1245.176887,3.34911,3.2331
1245.181278,0.321503,13.0718,1245.181033,-0.53835,3.53743
1245.185424,4.33044,14.2577,1245.18518,-4.01508,3.86739
1245.18957,6.09319,15.6231,1245.189326,0.0253015,4.25278
1245.193717,16.7672,17.0879,1245.193472,-1.85488,4.56461
1245.197863,-1.12985,18.5933,1245.197619,2.45649,4.8334
1245.202009,-4.62388,20.6843,1245.201765,-3.81627,5.07767
1245.206156,4.60189,21.7585,1245.205911,-2.25157,5.29409
1245.210302,1.08794,22.3542,1245.210058,0.624152,5.46313
1245.214448,-2.20853,22.7679,1245.214204,-0.3429,5.59917
1245.218595,10.0797,22.9939,1245.21835,-2.21826,5.71075
1245.222741,17.0632,23.2061,1245.222497,-2.96129,5.78533
1245.226887,24.441,23.0515,1245.226643,-2.47672,5.82522
1245.231034,22.7703,22.6428,1245.230789,-1.84062,5.84669
1245.23518,21.0587,22.1245,1245.234936,-0.759541,5.81951
1245.239326,11.4042,21.2121,1245.239082,-2.05068,5.72541
1245.243473,-8.86995,19.7884,1245.243228,-5.33003,5.58473
1245.247619,-4.53877,18.1824,1245.247375,0.951272,5.27737
1245.251765,-2.77391,16.835,1245.251521,0.494763,4.85152
1245.255912,13.0522,15.4271,1245.255667,-0.68461,4.4513
1245.260058,-6.02987,14.2356,1245.259814,3.51101,4.08162
1245.264204,-5.01156,13.1604,1245.26396,3.23234,3.7434
1245.268351,3.17886,12.0194,1245.268106,1.87731,3.43217
1245.272497,-6.97222,11.2042,1245.272253,0.969115,3.17109
1245.276643,7.54738,10.4401,1245.276399,5.97309,2.94306
1245.28079,4.28503,9.6932,1245.280545,6.37533,2.73637
1245.284936,16.548,9.10208,1245.284692,6.15872,2.56119
1245.289082,4.2568,8.62585,1245.288838,10.1429,2.40531
1245.293229,7.57857,8.10782,1245.292984,7.93613,2.27152
1245.297375,17.6149,7.68772,1245.297131,13.3822,2.15386
1245.301521,13.0107,7.34859,1245.301277,10.4303,2.04924
1245.305668,14.6663,7.01286,1245.305423,9.71623,1.95697
1245.309814,4.25219,6.72441,1245.30957,11.836,1.87509
1245.31396,9.49497,6.47815,1245.313716,13.7247,1.79464
1245.318107,14.6119,6.25053,1245.317862,11.8175,1.72792
1245.322253,12.8768,6.0363,1245.322009,11.2612,1.67236
1245.326399,17.89,5.84988,1245.326155,10.1953,1.63815
1245.330546,16.3091,5.7376,1245.330301,9.85532,1.58593
1245.334692,15.6423,5.55378,1245.334448,8.57948,1.53752
1245.338838,12.4144,5.407,1245.338594,9.04758,1.49433
1245.342985,12.3345,5.29014,1245.34274,7.99776,1.45599
1245.347131,9.14667,5.16267,1245.346887,7.14366,1.41955
1245.351277,15.7076,5.04206,1245.351033,7.46956,1.38796
1245.355424,23.3997,4.94896,1245.355179,5.37356,1.35812
1245.35957,15.5003,4.83471,1245.359326,5.89886,1.33052
1245.363716,14.8061,4.75927,1245.363472,6.3691,1.30854
1245.367863,14.9803,4.72158,1245.367618,4.34037,1.28621
1245.372009,16.1037,4.63981,1245.371765,4.12377,1.26505
1245.376155,7.2398,4.56868,1245.375911,6.60933,1.24478
1245.380302,15.4825,4.49936,1245.380057,4.93346,1.2289
